Context,Utterance,Tag,Context_set,Context_link
Do you serve ,,menu,,
I would like to place an order for delivery,great! what would you like? ,order,,
order for delivery please,I can do that! what do you want to order?,order,,
do you deliver?,"yes, would you like to place an order?",order,,complaint1
I would like to place an order for pick up,great! what would you like? ,order,,complaint1
order for pickup please,great! what would you like? ,order,,complaint1
i want to pickup an order,great! what would you like? ,order,,
Do you have parking available?,yes! free parking out front,parking,,
Is there parking at your building?,yes! free parking is out front,parking,,
Does your restaurant have parking?,yes! there is free parking out front,parking,,
